,date,store_nbr,item_nbr,item_aug,Y
0,2013-01-01,25,103665,713,2595
1,2013-01-01,25,105574,523,2405
2,2013-01-01,25,105575,742,2624
3,2013-01-01,25,108079,268,2150
4,2013-01-01,25,108701,428,2310
5,2013-01-01,25,108786,179,2061
6,2013-01-01,25,108797,343,2225
7,2013-01-01,25,108952,366,2248
8,2013-01-01,25,111397,120,2002
9,2013-01-01,25,114790,872,2754
10,2013-01-01,25,114800,610,2492
11,2013-01-01,25,115267,808,2690
12,2013-01-01,25,115611,263,2145
13,2013-01-01,25,115693,821,2703
14,2013-01-01,25,115720,479,2361
15,2013-01-01,25,115850,2,1884
16,2013-01-01,25,115891,599,2481
17,2013-01-01,25,115892,547,2429
18,2013-01-01,25,115894,526,2408
19,2013-01-01,25,119024,703,2585
20,2013-01-01,25,119026,258,2140
21,2013-01-01,25,119141,473,2355
22,2013-01-01,25,119187,114,1996
23,2013-01-01,25,119624,58,1940
24,2013-01-01,25,123927,300,2182
25,2013-01-01,25,129635,196,2078
26,2013-01-01,25,153239,298,2180
27,2013-01-01,25,153267,828,2710
28,2013-01-01,25,153395,524,2406
29,2013-01-01,25,155607,253,2135
30,2013-01-01,25,158680,554,2436
31,2013-01-01,25,158788,174,2056
32,2013-01-01,25,158842,357,2239
33,2013-01-01,25,158875,835,2717
34,2013-01-01,25,158956,213,2095
35,2013-01-01,25,159156,584,2466
36,2013-01-01,25,162066,382,2264
37,2013-01-01,25,164036,698,2580
38,2013-01-01,25,164088,850,2732
39,2013-01-01,25,165550,398,2280
40,2013-01-01,25,165551,321,2203
41,2013-01-01,25,165553,431,2313
42,2013-01-01,25,165594,261,2143
43,2013-01-01,25,165704,900,2782
44,2013-01-01,25,165705,940,2822
45,2013-01-01,25,165718,777,2659
46,2013-01-01,25,165988,451,2333
47,2013-01-01,25,168927,439,2321
48,2013-01-01,25,169104,395,2277
49,2013-01-01,25,172184,284,2166
50,2013-01-01,25,172343,143,2025
51,2013-01-01,25,173113,549,2431
52,2013-01-01,25,177050,264,2146
53,2013-01-01,25,179600,405,2287
54,2013-01-01,25,205387,862,2744
55,2013-01-01,25,207857,443,2325
56,2013-01-01,25,208384,461,2343
57,2013-01-01,25,208498,24,1906
58,2013-01-01,25,208514,265,2147
59,2013-01-01,25,211203,756,2638
60,2013-01-01,25,214381,971,2853
61,2013-01-01,25,214862,537,2419
62,2013-01-01,25,215331,178,2060
63,2013-01-01,25,215332,683,2565
64,2013-01-01,25,215352,790,2672
65,2013-01-01,25,215356,910,2792
66,2013-01-01,25,215370,614,2496
67,2013-01-01,25,219147,958,2840
68,2013-01-01,25,219150,635,2517
69,2013-01-01,25,220435,508,2390
70,2013-01-01,25,222879,31,1913
71,2013-01-01,25,223434,722,2604
72,2013-01-01,25,224081,753,2635
73,2013-01-01,25,226857,455,2337
74,2013-01-01,25,227111,384,2266
75,2013-01-01,25,246052,730,2612
76,2013-01-01,25,252970,905,2787
77,2013-01-01,25,252972,351,2233
78,2013-01-01,25,253103,580,2462
79,2013-01-01,25,257847,101,1983
80,2013-01-01,25,257848,778,2660
81,2013-01-01,25,258268,996,2878
82,2013-01-01,25,258396,849,2731
83,2013-01-01,25,260893,590,2472
84,2013-01-01,25,261052,507,2389
85,2013-01-01,25,261053,339,2221
86,2013-01-01,25,261700,905,2787
87,2013-01-01,25,262358,891,2773
88,2013-01-01,25,265254,307,2189
89,2013-01-01,25,265257,878,2760
90,2013-01-01,25,265258,628,2510
91,2013-01-01,25,265266,737,2619
92,2013-01-01,25,265559,932,2814
93,2013-01-01,25,268440,765,2647
94,2013-01-01,25,268443,206,2088
95,2013-01-01,25,268664,815,2697
96,2013-01-01,25,268676,881,2763
97,2013-01-01,25,268834,297,2179
98,2013-01-01,25,273528,195,2077
99,2013-01-01,25,275823,582,2464
100,2013-01-01,25,275826,191,2073
101,2013-01-01,25,279494,455,2337
102,2013-01-01,25,302997,786,2668
103,2013-01-01,25,305080,30,1912
104,2013-01-01,25,305081,554,2436
105,2013-01-01,25,305227,218,2100
106,2013-01-01,25,305229,132,2014
107,2013-01-01,25,305344,762,2644
108,2013-01-01,25,308085,343,2225
109,2013-01-01,25,308726,836,2718
110,2013-01-01,25,308916,815,2697
111,2013-01-01,25,310644,388,2270
112,2013-01-01,25,311954,706,2588
113,2013-01-01,25,311994,246,2128
114,2013-01-01,25,312324,801,2683
115,2013-01-01,25,313641,991,2873
116,2013-01-01,25,314384,664,2546
117,2013-01-01,25,314393,597,2479
118,2013-01-01,25,314570,4,1886
119,2013-01-01,25,315176,472,2354
120,2013-01-01,25,315179,241,2123
121,2013-01-01,25,315220,298,2180
122,2013-01-01,25,315277,3,1885
123,2013-01-01,25,315320,901,2783
124,2013-01-01,25,315322,779,2661
125,2013-01-01,25,315460,218,2100
126,2013-01-01,25,315463,672,2554
127,2013-01-01,25,315474,518,2400
128,2013-01-01,25,318787,331,2213
129,2013-01-01,25,318847,613,2495
130,2013-01-01,25,319093,854,2736
131,2013-01-01,25,319094,817,2699
132,2013-01-01,25,320682,693,2575
133,2013-01-01,25,323013,63,1945
134,2013-01-01,25,323227,854,2736
135,2013-01-01,25,323921,824,2706
136,2013-01-01,25,324206,453,2335
137,2013-01-01,25,329362,108,1990
138,2013-01-01,25,329397,313,2195
139,2013-01-01,25,346066,137,2019
140,2013-01-01,25,352513,136,2018
141,2013-01-01,25,355090,423,2305
142,2013-01-01,25,358096,456,2338
143,2013-01-01,25,358100,89,1971
144,2013-01-01,25,358231,421,2303
145,2013-01-01,25,358515,811,2693
146,2013-01-01,25,360314,207,2089
147,2013-01-01,25,361502,66,1948
148,2013-01-01,25,362035,348,2230
149,2013-01-01,25,363868,769,2651
150,2013-01-01,25,364413,265,2147
151,2013-01-01,25,364606,952,2834
152,2013-01-01,25,364738,231,2113
153,2013-01-01,25,364829,536,2418
154,2013-01-01,25,364834,288,2170
155,2013-01-01,25,365138,630,2512
156,2013-01-01,25,368140,655,2537
157,2013-01-01,25,368424,508,2390
158,2013-01-01,25,368624,488,2370
159,2013-01-01,25,368628,653,2535
160,2013-01-01,25,369432,526,2408
161,2013-01-01,25,370042,842,2724
162,2013-01-01,25,371437,861,2743
163,2013-01-01,25,372480,946,2828
164,2013-01-01,25,373152,149,2031
165,2013-01-01,25,374464,898,2780
166,2013-01-01,25,376427,20,1902
167,2013-01-01,25,378685,267,2149
168,2013-01-01,25,402174,337,2219
169,2013-01-01,25,406965,508,2390
170,2013-01-01,25,407769,722,2604
171,2013-01-01,25,410257,942,2824
172,2013-01-01,25,410866,711,2593
173,2013-01-01,25,414305,577,2459
174,2013-01-01,25,414353,270,2152
175,2013-01-01,25,414426,776,2658
176,2013-01-01,25,414478,949,2831
177,2013-01-01,25,414621,430,2312
178,2013-01-01,25,414623,181,2063
179,2013-01-01,25,414750,259,2141
180,2013-01-01,25,414752,806,2688
181,2013-01-01,25,414888,341,2223
182,2013-01-01,25,417765,138,2020
183,2013-01-01,25,417835,714,2596
184,2013-01-01,25,418235,609,2491
185,2013-01-01,25,420720,495,2377
186,2013-01-01,25,422452,200,2082
187,2013-01-01,25,426155,605,2487
188,2013-01-01,25,428488,329,2211
189,2013-01-01,25,452212,722,2604
190,2013-01-01,25,456870,701,2583
191,2013-01-01,25,456875,75,1957
192,2013-01-01,25,457424,562,2444
193,2013-01-01,25,457425,632,2514
194,2013-01-01,25,457574,504,2386
195,2013-01-01,25,457688,916,2798
196,2013-01-01,25,457928,214,2096
197,2013-01-01,25,458029,992,2874
198,2013-01-01,25,459762,909,2791
199,2013-01-01,25,462673,689,2571
200,2013-01-01,25,463598,275,2157
201,2013-01-01,25,464263,87,1969
202,2013-01-01,25,464333,732,2614
203,2013-01-01,25,464336,856,2738
204,2013-01-01,25,464339,961,2843
205,2013-01-01,25,464374,922,2804
206,2013-01-01,25,464385,408,2290
207,2013-01-01,25,464536,121,2003
208,2013-01-01,25,464906,210,2092
209,2013-01-01,25,468058,332,2214
210,2013-01-01,25,470625,315,2197
211,2013-01-01,25,471985,178,2060
212,2013-01-01,25,472526,838,2720
213,2013-01-01,25,502182,534,2416
214,2013-01-01,25,502227,714,2596
215,2013-01-01,25,502331,355,2237
216,2013-01-01,25,507457,734,2616
217,2013-01-01,25,507478,445,2327
218,2013-01-01,25,507479,876,2758
219,2013-01-01,25,507867,903,2785
220,2013-01-01,25,507927,435,2317
221,2013-01-01,25,509877,981,2863
222,2013-01-01,25,510054,504,2386
223,2013-01-01,25,510055,694,2576
224,2013-01-01,25,514172,184,2066
225,2013-01-01,25,514242,141,2023
226,2013-01-01,25,514327,498,2380
227,2013-01-01,25,517903,347,2229
228,2013-01-01,25,518091,606,2488
229,2013-01-01,25,518094,554,2436
230,2013-01-01,25,519560,439,2321
231,2013-01-01,25,521818,236,2118
232,2013-01-01,25,522721,220,2102
233,2013-01-01,25,552050,669,2551
234,2013-01-01,25,554047,828,2710
235,2013-01-01,25,554049,379,2261
236,2013-01-01,25,556698,59,1941
237,2013-01-01,25,557256,723,2605
238,2013-01-01,25,557257,321,2203
239,2013-01-01,25,557285,359,2241
240,2013-01-01,25,557408,444,2326
241,2013-01-01,25,557420,400,2282
242,2013-01-01,25,558730,643,2525
243,2013-01-01,25,559044,706,2588
244,2013-01-01,25,559870,357,2239
245,2013-01-01,25,559873,315,2197
246,2013-01-01,25,563966,313,2195
247,2013-01-01,25,564272,606,2488
248,2013-01-01,25,564274,686,2568
249,2013-01-01,25,564533,9,1891
250,2013-01-01,25,567623,132,2014
